Power_network_size,cluster_method,Rep-Days,Emis-case,Elec_scenario,reduc-goal,RPS,UC-active?,UC-rlx?,int-vars-rlx?,MI-gap(%),Run time(sec),Total-cost,Power-cost,est-cost,decom-cost,FOM,VOM,nuc-fuel-cost,gas-fuel-cost,startup-cost,shed-cost,storage-cost,tran-est-cost,CCS-cost,emission_e,num-est-tran,total-str-lev,total-str-cap,num-est-str,total-flow,NG-cost,NG-import-cost,RNG-import-cost,inv-storage,FOM-storage,shed-cost,pipe-est-cost,emission_g,num-est-pipe,total-ng-shed,total-RNG-import,total-flowGE,Production:,ng,solar,wind,hydro,nuclear,CT,CC,CC-CCS,solar-UPV,wind-new,wind-offshore,nuclear-new,established:,ng,solar,wind,hydro,nuclear,CT,CC,CC-CCS,solar-UPV,wind-new,wind-offshore,nuclear-new,decommissioned:,ng,solar,wind,hydro,nuclear,CT,CC,CC-CCS,solar-UPV,wind-new,wind-offshore,nuclear-new
10,joint_CF_with_extreme_days,16,4,RM,0.8,0.5,FALSE,TRUE,FALSE,0,170.2435904,44646728290,29447199908,24556560000,300000000,1708858900,179772116.7,163834507.9,1297639926,0,1548250457,952164666.8,37759259,0,12619250.66,3,28987.61384,21317.24902,9,13111964.34,15199528382,1388207547,12757120835,0,1054200000,0,0,880749.342,0,0,28087045.43,12778894.17,Production:,27367709.08,816263.1943,1731725.119,20845765.73,21466785.63,0,0,0,38395463.16,0,24241133.71,0,established:,0,0,0,0,0,0,0,0,2018,0,539,0,decommissioned:,0,0,0,0,1,0,0,0,0,0,0,0
10,joint_CF_with_extreme_days,18,4,RM,0.8,0.5,FALSE,TRUE,FALSE,0,198.6288533,41307467701,26341692755,20183440000,300000000,1562040900,171728998.9,155182428.1,1360558510,0,2731110431,1225603577,12586419.67,0,13231119.46,1,47582.86332,18948.41592,3,14498552.96,14965774945,1388207547,12523367398,0,1054200000,0,0,268880.542,0,0,28868514.58,15789409.81,Production:,23213300.44,940814.9937,2064977.431,20139120.06,20333127.37,0,7498120.998,0,48322278.31,12850919.54,0,0,established:,0,0,0,0,0,0,2,0,2155,573,0,0,decommissioned:,0,0,0,0,1,0,0,0,0,0,0,0
10,joint_CF_with_extreme_days,20,4,RM,0.8,0.5,FALSE,TRUE,FALSE,0,312.6866939,37200365658,26872007870,22434880000,300000000,1735728900,143891690.7,160840534.9,964826058.2,0,1612118640,484548104.6,0,0,9382712.125,0,22537.29329,4411.78849,2,15648325.82,10328357788,1388207547,7885950241,0,1054200000,0,0,4117287.875,0,0,22860643.54,13800845.19,Production:,20348540.72,833836.6575,1832672.91,23170108,21074493.56,1.50E-05,0.001003389,0.000994811,17616133.05,989331.1749,43821054.42,0,established:,0,0,0,0,0,0,0,0,944,55,767,0,decommissioned:,0,0,0,0,1,0,0,0,0,0,0,0
10,joint_CF_with_extreme_days,22,4,RM,0.8,0.5,FALSE,TRUE,FALSE,0,394.1931698,43831577906,29937746278,25284400000,300000000,1714470900,158040533.7,160869959.5,1186940962,0,1309440667,985351378.4,25172839.33,0,11542728.62,2,36398.14749,16769.288,8,17990643.79,13893831628,1388207547,11451424081,0,1054200000,0,0,1957271.378,0,0,32472454.68,16479670.59,Production:,20933786.84,804047.6777,1654828.203,21278290.41,21078348.99,0,5607450.79,0,40846062.7,0,21068398.74,-7.55E-09,established:,0,0,0,0,0,0,2,0,2155,0,477,0,decommissioned:,0,0,0,0,1,0,0,0,0,0,0,0
10,joint_CF_with_extreme_days,24,4,RM,0.8,0.5,FALSE,TRUE,FALSE,0,391.0146818,40402056338,27556075499,22728800001,300000000,1625739900,157508110.6,165090413.3,1148293712,0,1702605475,845084434,31247165.21,0,11166892.98,3,38659.06073,8229.727715,5,21295395.82,12845980840,1388207547,10403573293,0,1054200000,0,0,2333107.022,0,0,34998910.21,17931717.07,Production:,21195049.06,906020.998,2126775.187,21163355.17,21631343.47,4.37E-06,4135089.171,6.06E-07,46493178.28,0,14674917.34,-2.36E-11,established:,0,0,0,0,0,0,1.000000002,0,2155,0,378,0,decommissioned:,0,0,0,0,1,0,0,0,0,0,0,0
10,joint_CF_with_extreme_days,26,4,RM,0.8,0.5,FALSE,TRUE,FALSE,0,589.3789237,40628885190,28908445529,24748320000,300000000,1693271900,142737959.4,158527124.6,1122734609,0,1078110352,787478192.3,0,0,10918336.57,0,36262.41945,7471.489112,6,20070253.96,11720439662,1388207547,9278032114,0,1054200000,0,0,2581663.431,0,0,36170353.88,19056841.79,Production:,16082558.81,927733.5982,2031859.809,20789514.93,20771373.77,9.83E-08,10391208.92,0,44549442.3,766393.6738,16164252.55,0,established:,0,0,0,0,0,0,3,0,2155,39,409,0,decommissioned:,0,0,0,0,1,0,0,0,0,0,0,0
10,joint_CF_with_extreme_days,28,4,RM,0.8,0.5,FALSE,TRUE,FALSE,0,689.0659051,41574450072,29926759799,25993600000,300000000,1782390900,141733827.4,164034952.9,1049316355,0,1009812320,535187799,0,0,10204360.89,0,23951.17107,5651.164012,3,21737904.86,11647690273,1388207547,9205282726,0,1054200000,0,0,3295639.115,0,0,32355353.99,18625524.58,Production:,16872592.5,821869.6307,1804486.213,20885119.36,21493049.39,0,7192383.06,0,31582686.55,0,30022460.8,0,established:,0,0,0,0,0,0,2,0,1705,0,660,0,decommissioned:,0,0,0,0,1,0,0,0,0,0,0,0
10,joint_CF_with_extreme_days,30,4,RM,0.8,0.5,FALSE,TRUE,FALSE,0,821.1711779,41510746253,30202263073,25807680000,300000000,1770361900,128321712.7,169777471.9,967128537.1,0,1442242981,583879007.6,0,0,9405103.204,0,26873.00984,5551.268692,3,23610989.21,11308483180,1388207547,8866075633,0,1054200000,0,0,4094896.796,0,0,37853726.03,18902378.27,Production:,12378755.9,805702.6811,1722257.935,21470885.56,22245475.88,2.77E-07,10968490.75,1.01E-05,33122422.33,0,29116412.06,0,established:,0,0,0,0,0,0,3,0,1719,0,620,0,decommissioned:,0,0,0,0,1,0,0,0,0,0,0,0
15,joint_CF_with_extreme_days,4,4,RM,0.8,0.5,FALSE,TRUE,FALSE,0,32.19211149,46921434972,34622014735,31744560000,300000000,1976769900,118988166.1,160341234.6,955279330.8,0,0,321355434.7,0,0,9289872.392,0,9673.129649,7285.657339,10,4614704.535,12299420237,1388207547,9857012690,0,1054200000,0,0,4210127.608,0,0,5113114.449,2054725.442,Production:,9650564.126,692450.5593,1663517.564,21861433.38,21009071.62,0,14358601.14,0,25874572.25,0,36371972.42,0,established:,0,0,0,0,0,0,6,0,1668,0,849,0,decommissioned:,0,0,0,0,1,0,0,0,0,0,0,0
15,joint_CF_with_extreme_days,6,4,RM,0.8,0.5,FALSE,TRUE,FALSE,0,43.97772074,38767767327,28731372886,26045040000,300000000,1768709900,111168911.3,164026449.3,959325705.6,0,0,342427625.5,0,0,9329222.458,0,11930.87592,6421.315055,3,6965394.233,10036394441,1388207547,7593986893,0,1054200000,0,0,4170777.542,0,0,5139805.281,3224682.377,Production:,5667411.813,829801.5196,1935446.286,20125228.21,21491935.18,0,19923990.95,0,34450351.18,0,26680674.68,0,established:,0,0,0,0,0,0,6,0,1682,0,565,0,decommissioned:,0,0,0,0,1,0,0,0,0,0,0,0
