,zone_id,plant_type,Pmax,Pmin,GenFuelCost,GenIOB,GenIOC,ramp_30,count,adjusted_count
102,70.0,solar,5.7940000000000005,0.0,0.0,0.0,0.0,0.0,1.0,1.0
103,71.0,ng,345.23,103.641504127,6.39425,4.688219999999999,0.00475825,172.6,4.0,2.0
104,72.0,hydro,57.866,17.869999871,0.0,0.0,0.0,0.0,2.0,3.0
105,72.0,ng,40.282,12.239621619,8.286999999999999,4.588699999999999,0.00249075,20.13,2.0,1.0
106,73.0,ng,1169.848,315.16034339,7.082599999999999,4.619762,0.0051976,535.33,5.0,7.0
107,75.0,ng,72.017,31.19272563,5.293,4.61463,0.003786,36.0,2.0,1.0
108,76.0,hydro,6.0,2.479999982,0.0,0.0,0.0,0.0,1.0,1.0
109,76.0,wind,5.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
110,77.0,ng,841.5,252.45,17.52,4.149666666666667,0.002463,369.93,1.0,5.0
111,78.0,hydro,19.55,5.54999996,0.0,0.0,0.0,0.0,4.0,1.0
112,78.0,ng,641.388,206.76416101,5.769,4.95838,0.0063925,262.64,2.0,4.0
113,81.0,ng,621.414,139.89565706000002,5.551,4.94632,0.0070755,259.12,2.0,4.0
114,82.0,ng,16.201,4.42756938,5.066,4.59071,0.003202,8.1,1.0,1.0
115,82.0,solar,10.08,0.0,0.0,0.0,0.0,0.0,1.0,2.0
116,84.0,ng,512.666,228.2029181,5.353,4.88067,0.0062415,234.68,2.0,3.0
117,86.0,hydro,8.0,3.4299999750000003,0.0,0.0,0.0,0.0,1.0,1.0
118,86.0,ng,78.798,18.409367421,8.224499999999999,4.60286,0.0031665,39.39,2.0,1.0
119,86.0,solar,2.52,0.0,0.0,0.0,0.0,0.0,1.0,1.0
120,87.0,ng,370.627,103.820398788,5.6555,4.645733333333333,0.0035928333333333,185.31,6.0,2.0
121,88.0,ng,11.097,5.337495919,5.65,4.58455,0.002482,5.55,1.0,1.0
122,88.0,nuclear,1888.898,821.6083885,1.0,8.0,0.0019,0.0,2.0,2.0
