,index,bus_num,plant_type,Pmax,Pmin,GenFuelCost,GenIOB,GenIOC,ramp_30,count
59,59,83,wind,65.0,0.0,0.0,0.0,0.0,0.0,1.0
60,60,84,hydro,37.05,13.726655924,0.0,0.0,0.0,0.0,1.0
61,61,86,wind,40.0,0.0,0.0,0.0,0.0,0.0,1.0
62,62,87,hydro,5.203,1.66509852,0.0,0.0,0.0,0.0,1.0
63,63,88,dfo,40.938,18.58837141,16.471,8.01688,0.007059,20.47,1.0
64,64,88,hydro,9.158,3.9650158510000004,0.0,0.0,0.0,0.0,1.0
65,65,88,solar,8.277,0.0,0.0,0.0,0.0,0.0,1.0
66,66,90,hydro,39.235,9.158041862,0.0,0.0,0.0,0.0,3.0
67,67,90,wind,6.0,0.0,0.0,0.0,0.0,0.0,1.0
68,68,93,hydro,17.38,8.044507225,0.0,0.0,0.0,0.0,3.0
69,69,95,hydro,36.318,10.136287241,0.0,0.0,0.0,0.0,3.0
70,70,95,solar,8.712,0.0,0.0,0.0,0.0,0.0,2.0
71,71,96,ng,23.241,7.489655172,6.604,4.60424,0.004148,11.62,1.0
72,72,96,solar,27.098000000000003,0.0,0.0,0.0,0.0,0.0,5.0
73,73,97,solar,17.213,0.0,0.0,0.0,0.0,0.0,2.0
74,74,97,wind,5.711,0.0,0.0,0.0,0.0,0.0,2.0
75,75,98,dfo,188.095,53.281466452000004,20.58875,8.01688,0.006854125000000001,94.05000000000001,4.0
76,76,98,ng,804.6039999999999,211.770441871,8.907714285714286,4.534560000000001,0.003895142857142857,387.61999999999995,7.0
77,77,99,wind,2.284,0.0,0.0,0.0,0.0,0.0,1.0
78,78,100,solar,10.736,0.0,0.0,0.0,0.0,0.0,1.0
79,79,101,solar,11.078,0.0,0.0,0.0,0.0,0.0,1.0
80,80,102,hydro,22.0,7.520000155,0.0,0.0,0.0,0.0,1.0
81,81,102,ng,435.266,86.55444463,6.282333333333333,4.77776,0.005337666666666667,202.96,3.0
82,82,102,solar,26.244,0.0,0.0,0.0,0.0,0.0,4.0
83,83,103,dfo,20.035,4.37235657,16.471,8.01688,0.007868,10.02,1.0
84,84,103,hydro,16.7,5.880000121,0.0,0.0,0.0,0.0,1.0
85,85,103,solar,9.885,0.0,0.0,0.0,0.0,0.0,1.0
86,86,104,dfo,630.0420000000001,187.2806422,98.82600000000001,8.01688,0.009693666666666666,315.0,1.0
87,87,104,ng,245.493,39.904054756,18.546999999999997,4.68767,0.005175,122.76,1.0
88,88,105,solar,14.146,0.0,0.0,0.0,0.0,0.0,3.0
89,89,106,ng,10.35,3.443735921,6.74,4.58589,0.002381,5.17,1.0
90,90,106,solar,8.521,0.0,0.0,0.0,0.0,0.0,1.0
91,91,107,dfo,16.735,7.259761853,16.471,8.01688,0.006486,8.37,1.0
92,92,107,hydro,7.4,3.040000063,0.0,0.0,0.0,0.0,1.0
93,93,107,ng,1661.2529999999997,519.580713944,6.105857142857142,4.909115714285713,0.006587714285714285,740.1099999999999,7.0
94,94,108,solar,2.556,0.0,0.0,0.0,0.0,0.0,1.0
95,95,109,solar,6.135,0.0,0.0,0.0,0.0,0.0,1.0
96,96,111,ng,79.978,15.647357477,5.587,4.62809,0.0034584999999999998,39.98,2.0
97,97,112,hydro,15.266,3.5900000739999998,0.0,0.0,0.0,0.0,1.0
98,98,112,solar,6.817,0.0,0.0,0.0,0.0,0.0,1.0
99,99,113,solar,10.907,0.0,0.0,0.0,0.0,0.0,1.0
100,100,114,ng,1024.831,291.005094477,8.730599999999999,4.833959999999999,0.005928299999999999,467.16999999999996,5.0
101,101,114,wind,2.056,0.0,0.0,0.0,0.0,0.0,1.0
102,102,115,solar,9.544,0.0,0.0,0.0,0.0,0.0,1.0
103,103,116,solar,9.374,0.0,0.0,0.0,0.0,0.0,1.0
104,104,117,solar,26.246,0.0,0.0,0.0,0.0,0.0,4.0
105,105,118,solar,33.82900000000001,0.0,0.0,0.0,0.0,0.0,5.0
106,106,118,wind,3.427,0.0,0.0,0.0,0.0,0.0,1.0
107,107,119,hydro,3.5,0.860000018,0.0,0.0,0.0,0.0,1.0
108,108,119,solar,9.374,0.0,0.0,0.0,0.0,0.0,1.0
109,109,121,dfo,48.909000000000006,15.261999349,16.471,8.01688,0.008368,24.45,2.0
110,110,121,ng,165.112,67.65153352,24.758,4.62993,0.0040225,82.56,1.0
111,111,121,solar,5.6240000000000006,0.0,0.0,0.0,0.0,0.0,1.0
112,112,121,wind,17.133,0.0,0.0,0.0,0.0,0.0,1.0
113,113,122,ng,543.846,170.51197369,6.423500000000001,4.95838,0.0071725,242.58,2.0
114,114,123,dfo,159.102,49.19195774000001,16.471,8.01688,0.00726,79.56,3.0
115,115,124,coal,372.976,78.16313755,3.123,8.01688,0.02265,135.75,1.0
116,116,124,dfo,560.392,72.64475984,16.471,8.01688,0.024993,219.61,1.0
117,117,129,dfo,172.43099999999998,61.18942133,49.413,8.01688,0.00825,86.22,1.0
118,118,129,ng,188.182,40.76028418,5.509,4.83913,0.007189,94.09,1.0
119,119,129,solar,12.270000000000001,0.0,0.0,0.0,0.0,0.0,3.0
120,120,132,dfo,1372.99,449.88131369999996,16.471,8.01688,0.0244975,486.1,2.0
121,121,132,solar,26.415000000000003,0.0,0.0,0.0,0.0,0.0,5.0
122,122,133,ng,167.482,42.20928781,11.298,4.6904,0.0050810000000000004,83.74,1.0
123,123,134,ng,543.846,121.13294057,6.4575,4.95838,0.007427,242.58,2.0
124,124,136,dfo,50.205,13.011001761000001,24.7065,8.01688,0.00724175,25.11,2.0
125,125,137,hydro,705.0,231.28000477,0.0,0.0,0.0,0.0,3.0
126,126,137,solar,11.759,0.0,0.0,0.0,0.0,0.0,2.0
127,127,138,hydro,51.5,11.16000023,0.0,0.0,0.0,0.0,2.0
128,128,138,solar,5.113,0.0,0.0,0.0,0.0,0.0,1.0
129,129,139,ng,338.728,116.5601109,6.3165,4.81233,0.007024,169.36,2.0
130,130,139,solar,18.746000000000002,0.0,0.0,0.0,0.0,0.0,4.0
131,131,141,solar,12.612,0.0,0.0,0.0,0.0,0.0,1.0
132,132,142,solar,14.997,0.0,0.0,0.0,0.0,0.0,2.0
133,133,142,wind,2.284,0.0,0.0,0.0,0.0,0.0,1.0
134,134,143,nuclear,617.001,298.4075212,1.0,8.0,0.0019,0.0,1.0
135,135,146,ng,363.28499999999997,150.78106047,5.808,4.74359,0.005586333333333333,181.64999999999998,3.0
136,136,146,solar,16.872,0.0,0.0,0.0,0.0,0.0,2.0
137,137,147,hydro,611.2,113.64000234599999,0.0,0.0,0.0,0.0,3.0
138,138,147,wind,32.552,0.0,0.0,0.0,0.0,0.0,1.0
139,139,149,ng,982.128,333.9535841,14.1678,4.719064,0.0053557,491.08,5.0
140,140,149,wind,30.6,0.0,0.0,0.0,0.0,0.0,1.0
141,141,151,solar,2.809,0.0,0.0,0.0,0.0,0.0,1.0
142,142,151,wind,10.2,0.0,0.0,0.0,0.0,0.0,1.0
143,143,151,wind_offshore,830.0,0.0,0.0,0.0,0.0,0.0,3.0
144,144,153,ng,508.90199999999993,168.9538261,22.5985,4.68468,0.004677499999999999,254.45999999999998,2.0
145,145,153,solar,5.7940000000000005,0.0,0.0,0.0,0.0,0.0,1.0
146,146,154,ng,345.22999999999996,103.641504127,6.39425,4.688219999999999,0.00475825,172.6,4.0
147,147,154,wind_offshore,800.0,0.0,0.0,0.0,0.0,0.0,1.0
148,148,155,hydro,57.866,17.869999871,0.0,0.0,0.0,0.0,2.0
149,149,156,ng,40.282,12.239621619000001,8.286999999999999,4.588699999999999,0.00249075,20.13,2.0
150,150,157,ng,1169.848,315.16034339,7.082599999999999,4.619762,0.0051976,535.33,5.0
151,151,160,ng,72.017,31.192725629999998,5.293,4.61463,0.003786,36.0,2.0
152,152,161,dfo,41.886,11.115028819,16.471,8.01688,0.008379000000000001,20.94,2.0
153,153,161,hydro,6.0,2.479999982,0.0,0.0,0.0,0.0,1.0
154,154,161,wind,5.0,0.0,0.0,0.0,0.0,0.0,1.0
155,155,163,ng,841.5,252.45000000000002,17.52,4.149666666666667,0.002463,369.93,1.0
156,156,166,dfo,464.198,132.390848876,54.903333333333336,8.01688,0.00792865,232.07,3.0
157,157,166,hydro,19.549999999999997,5.54999996,0.0,0.0,0.0,0.0,4.0
158,158,166,ng,641.388,206.76416100999998,5.769,4.95838,0.0063925,262.64,2.0
159,159,171,dfo,637.199,233.44442549900003,16.471,8.01688,0.0119376,318.59000000000003,5.0
160,160,172,ng,621.414,139.89565706000002,5.551,4.94632,0.0070755,259.12,2.0
161,161,175,dfo,511.87,155.25495310800002,16.471,8.01688,0.010062166666666665,255.93999999999997,6.0
162,162,175,ng,16.201,4.42756938,5.066,4.59071,0.003202,8.1,1.0
163,163,175,solar,10.08,0.0,0.0,0.0,0.0,0.0,1.0
164,164,176,dfo,111.44,39.53184407,27.451666666666668,8.01688,0.007614666666666668,55.7,3.0
165,165,178,ng,512.666,228.2029181,5.353,4.88067,0.0062415000000000005,234.68,2.0
166,166,179,dfo,232.484,41.712580065,65.884,8.01688,0.00983225,116.24,1.0
167,167,180,dfo,755.476,213.44313769000001,16.471,8.01688,0.01505625,377.72,4.0
168,168,181,hydro,8.0,3.4299999750000003,0.0,0.0,0.0,0.0,1.0
169,169,182,ng,78.798,18.409367421,8.224499999999999,4.60286,0.0031665,39.39,2.0
170,170,182,solar,2.52,0.0,0.0,0.0,0.0,0.0,1.0
171,171,185,ng,370.627,103.820398788,5.6555,4.645733333333333,0.0035928333333333333,185.31,6.0
172,172,187,ng,11.097,5.337495919,5.65,4.58455,0.002482,5.55,1.0
173,173,187,nuclear,1888.898,821.6083885,1.0,8.0,0.0019,0.0,2.0
