1,2,3,4,5,6
0.050504647,0.052740696,0.052740696,0.052740696,0.052740696,0.052917649
0.352514813,0.404272581,0.404272581,0.404272581,0.404272581,0.397509032
0.507688318,0.585984561,0.585984561,0.585984561,0.585984561,0.570554053
0.389294541,0.486672967,0.486672967,0.486672967,0.486672967,0.516762519
0.245166428,0.404923001,0.404923001,0.404923001,0.404923001,0.452397047
0.183720601,0.361405061,0.361405061,0.361405061,0.361405061,0.361669636
0.165999252,0.356933823,0.356933823,0.356933823,0.356933823,0.330504111
0.178072516,0.407979356,0.407979356,0.407979356,0.407979356,0.404416648
0.093791263,0.251320657,0.251320657,0.251320657,0.251320657,0.268757959
0,0.020703714,0.020703714,0.020703714,0.020703714,0.026728133
