from bus,to bus,is_exist,maxFlow,susceptance,distance
22,29,0,2629.4,25429.7,20.3
23,25,1,1988.71,20508.61362,20.81666251
23,29,1,2309.03,19477.98987,20.32667703
23,28,0,2629.4,25429.7,20.3
24,25,1,3200,98619.32939,0
26,27,1,3200,93109.86965,0
26,37,0,2810.8,48826.1,12.6
27,61,1,2438.37,10135.81999,38.09057495
27,37,1,2775.57,28968.71379,12.61064926
28,29,1,3200,90579.71014,0
30,31,1,3200,91996.32015,0
30,32,1,3200,94786.72986,0
33,34,1,3200,88652.48227,0
34,36,1,2041.38,25893.31952,15.91056583
35,36,1,3200,94786.72986,0
38,39,1,3200,94876.66034,0
38,81,1,2350.71,36697.24771,11.09866663
38,95,1,2601.13,24026.91014,18.26075443
38,80,0,2846.4,53410.7,11.1
38,82,0,2846.4,53410.7,11.1
39,80,0,2846.4,53410.7,11.1
40,76,1,2320.35,28943.56006,13.72116675
40,84,1,2316.57,38270.18752,8.743400022
40,75,0,2784.7,45458.8,13.7
40,77,0,2784.7,45458.8,13.7
41,42,1,3200,86880.97307,0
41,43,1,3200,93283.58209,0
41,66,0,3023.8,76300,3.5
41,51,0,2843,52982.3,11.2
41,52,0,2843,52982.3,11.2
41,67,0,3023.8,76300,3.5
42,52,1,2570.06,37327.36096,11.23993371
42,67,1,3009.53,92764.37848,3.549855918
42,100,1,2980.37,19160.75877,20.14881755
42,66,0,3023.8,76300,3.5
43,66,0,3023.8,76300,3.5
44,45,1,3200,93196.64492,0
44,46,1,3200,83402.8357,0
44,49,0,2749.1,40859.9,15.2
44,50,0,2749.1,40859.9,15.2
45,50,1,2357.9,25310.04809,15.23788356
45,49,0,2749.1,40859.9,15.2
46,49,0,2749.1,40859.9,15.2
47,48,1,3200,99206.34921,0
47,58,0,2597.8,21344.5,21.7
47,59,0,2597.8,21344.5,21.7
48,59,1,2364.73,18825.3012,21.67398409
48,58,0,2597.8,21344.5,21.7
49,50,1,3200,95602.29446,0
50,111,1,2751.34,18005.04141,23.48600823
51,52,1,3200,93632.9588,0
51,99,0,2832.3,51594.6,11.7
51,100,0,2832.3,51594.6,11.7
51,101,0,2832.3,51594.6,11.7
52,100,1,3158.92,31928.4802,11.69759982
53,54,1,3200,90009.0009,0
53,84,0,2553.2,15591.3,23.6
53,60,0,2357,-9714.5,31.9
53,61,0,2357,-9714.5,31.9
53,62,0,2357,-9714.5,31.9
54,70,1,2544.09,9209.799226,41.63082899
54,84,1,2444.85,16849.19966,23.57135003
55,56,1,3200,87796.31255,0
55,57,1,3200,83752.0938,0
55,70,0,3041.2,78537.3,2.8
55,71,0,3041.2,78537.3,2.8
55,87,0,2417.6,-1897.4,29.3
55,88,0,2417.6,-1897.4,29.3
56,64,1,2332.49,45392.64639,6.590219184
56,70,1,2510.24,119904.0767,2.811990594
56,86,1,2334.51,16059.09748,24.78386182
57,70,0,3041.2,78537.3,2.8
58,59,1,3200,92506.93802,0
60,61,1,3200,87032.20191,0
60,62,1,3200,90090.09009,0
63,64,1,3200,91074.68124,0
63,65,1,3200,89047.19501,0
63,70,0,2974.8,69972.3,5.6
64,70,0,2974.8,69972.3,5.6
65,70,0,2974.8,69972.3,5.6
66,67,1,3200,91407.67824,0
68,69,1,3200,84317.03204,0
68,72,0,2339.5,-11968.4,32.7
69,72,0,2339.5,-11968.4,32.7
70,71,1,3200,83333.33333,0
72,88,1,2465.6,13204.80655,29.88477825
72,93,1,2099.63,32669.0624,11.49331795
72,92,0,2837.1,52214,11.5
73,74,1,3200,97847.35812,0
73,92,0,2655.4,28779.9,19.2
74,93,1,2376.62,18871.48519,19.22179074
74,92,0,2655.4,28779.9,19.2
75,76,1,3200,89206.06601,0
75,77,1,3200,88028.16901,0
75,78,0,2401.4,-3980.7,30
75,79,0,2401.4,-3980.7,30
78,79,1,3200,98039.21569,0
80,81,1,3200,85543.19932,0
80,82,1,3200,87108.01394,0
83,86,1,2114.07,24396.19419,16.07063681
83,85,0,2729.5,38334.8,16.1
85,86,1,3200,98716.68312,0
87,88,1,3200,85324.23208,0
89,90,1,3200,87642.41893,0
89,91,1,3200,99009.90099,0
89,147,0,2919.4,62834.4,8
90,95,1,2410.67,21767.52286,17.00075213
90,121,1,2518.72,14386.41922,29.04662183
90,147,1,2847.53,42625.74595,7.990770452
91,147,0,2919.4,62834.4,8
92,93,1,3200,94073.37723,0
94,95,1,3200,83822.29673,0
94,137,0,2754.7,41589,15
94,138,0,2754.7,41589,15
95,138,1,2618.31,24563.98919,14.99741945
95,137,0,2754.7,41589,15
96,97,1,3200,87260.0349,0
96,127,0,2774,44073.1,14.2
97,128,1,2738.41,29282.57687,14.17816955
97,143,1,3154.54,16371.97119,22.63473264
97,154,1,2400.29,28089.88764,15.74186622
97,127,0,2774,44073.1,14.2
98,100,1,2685.46,18047.28388,22.83134929
98,106,0,2704.6,35120.3,17.1
99,100,1,3200,91827.36455,0
99,101,1,3200,87950.74758,0
100,111,1,2946.6,18667.16446,23.3495728
102,103,1,3200,96618.35749,0
102,181,0,2735.9,39166.8,15.8
102,104,0,2703.3,34958.6,17.2
102,105,0,2703.3,34958.6,17.2
103,182,1,2417.7,25043.8267,15.79622965
103,104,1,2640.77,23223.4092,17.18410101
103,181,0,2735.9,39166.8,15.8
104,105,1,3200,92506.93802,0
104,140,1,2729.83,20429.00919,20.10601614
106,107,1,3200,86580.08658,0
106,111,1,2653,42319.08591,8.804544401
106,112,0,2900.3,60366.9,8.8
107,111,0,2900.3,60366.9,8.8
108,109,1,3200,91074.68124,0
108,110,1,3200,92506.93802,0
108,135,0,2888.1,58789.1,9.3
108,136,0,2888.1,58789.1,9.3
109,135,0,2888.1,58789.1,9.3
110,111,1,2660.37,31017.36973,13.07910937
110,119,1,2622.23,29913.25157,13.35115249
110,136,1,2556.57,45289.85507,9.32487637
110,135,0,2888.1,58789.1,9.3
111,112,1,3200,95419.84733,0
113,116,1,2576.66,24697.45616,14.70000638
113,119,1,2377.46,14334.86239,33.77118638
113,128,1,2849.6,22920.00917,17.20371788
113,114,0,2761.7,42490.8,14.7
113,115,0,2761.7,42490.8,14.7
114,115,1,3200,88183.42152,0
114,116,1,3200,83542.18881,0
117,118,1,3200,97087.37864,0
117,136,1,2652.96,16092.69392,24.86303689
117,119,0,2773,43946.4,14.2
118,119,0,2773,43946.4,14.2
119,135,0,2805.5,48144,12.8
120,121,1,3200,86655.11265,0
120,147,0,2612.2,23202.7,21.1
121,147,0,2612.2,23202.7,21.1
122,123,1,3200,89047.19501,0
122,144,0,3022.2,76092.5,3.6
123,136,1,2778.79,35752.59206,10.73892121
123,134,1,2099.57,68493.15068,4.663010211
123,145,1,2262.43,87873.46221,3.618288978
123,144,0,3022.2,76092.5,3.6
124,125,1,3200,95147.47859,0
124,126,1,3200,98039.21569,0
124,154,0,3003.5,73682.5,4.4
124,127,0,2889.3,58945.1,9.3
124,128,0,2889.3,58945.1,9.3
124,129,0,2889.3,58945.1,9.3
124,148,0,2762.7,42617.5,14.7
124,149,0,2762.7,42617.5,14.7
125,154,0,3003.5,73682.5,4.4
126,128,1,2579.01,42052.14466,9.273447718
126,148,1,2704.61,28113.57886,14.65822825
126,154,0,3003.5,73682.5,4.4
127,128,1,3200,85763.29331,0
127,129,1,3200,87412.58741,0
128,154,1,2599.69,27593.81898,13.15294121
130,131,1,3200,86655.11265,0
130,132,1,3200,98425.19685,0
130,142,0,2778.3,44628.7,14
130,143,0,2778.3,44628.7,14
131,143,1,2825.81,31065.54831,13.99494331
131,142,0,2778.3,44628.7,14
132,142,0,2778.3,44628.7,14
133,134,1,3200,92250.92251,0
133,144,0,3033.9,77604.5,3.1
133,145,0,3033.9,77604.5,3.1
133,146,0,3033.9,77604.5,3.1
133,152,0,2930,64199,7.5
133,153,0,2930,64199,7.5
134,136,1,2702.71,29568.30278,14.35523374
134,145,1,2338.48,102564.1026,3.119642521
134,153,1,2018.71,51759.83437,7.540713223
134,144,0,3033.9,77604.5,3.1
135,136,1,3200,91996.32015,0
137,138,1,3200,92336.10342,0
139,140,1,3200,88105.72687,0
139,141,1,3200,85836.90987,0
139,172,0,2669.9,30648.4,18.6
140,145,1,2645.36,15316.28121,28.58972465
140,172,0,2669.9,30648.4,18.6
141,172,0,2669.9,30648.4,18.6
142,143,1,3200,83892.61745,0
144,145,1,3200,99900.0999,0
144,146,1,3200,95785.44061,0
148,149,1,3200,90009.0009,0
148,150,1,2497.42,20811.65453,17.35950013
148,151,0,2699.2,34426.7,17.4
150,151,1,3200,95419.84733,0
152,153,1,3200,94428.70633,0
152,172,0,2721,37246.7,16.4
152,173,0,2721,37246.7,16.4
152,174,0,2721,37246.7,16.4
153,173,1,2348.19,24396.19419,16.4294914
155,156,1,3200,93632.9588,0
155,157,0,2922.7,63257.4,7.9
155,158,0,2922.7,63257.4,7.9
156,176,1,3089.64,16337.1998,25.58609061
156,158,1,2166.56,45682.96026,7.85126428
156,163,1,3167.1,20032.05128,21.72354099
156,157,0,2922.7,63257.4,7.9
157,158,1,3200,85397.0965,0
157,176,0,2611.9,23170.2,21.1
158,165,1,3190.89,24691.35802,16.77955362
159,160,1,2823.82,30778.70114,13.72339951
159,178,1,2884.84,20308.69212,18.90216792
159,161,1,2511.47,28473.8041,15.84573635
159,163,1,2915.51,35050.82369,9.841113748
159,162,0,2875.9,57223.8,9.8
160,168,1,2625.06,27129.67987,14.92417161
160,180,1,2767.86,34176.34997,11.97584175
160,177,0,2894.2,59577.3,9.1
160,167,0,2756.4,41811.1,14.9
160,169,0,2756.4,41811.1,14.9
162,163,1,3200,91575.09158,0
162,183,0,2844.2,53137.7,11.2
162,184,0,2844.2,53137.7,11.2
162,185,0,2844.2,53137.7,11.2
163,184,1,2877.63,36245.01631,11.18868264
164,165,1,3200,83822.29673,0
164,166,1,3200,89365.50492,0
164,170,0,3008.9,74379.4,4.2
164,171,0,3008.9,74379.4,4.2
165,184,1,2938.53,28620.49227,15.32126299
165,171,1,2968.63,73260.07326,4.183277715
165,170,0,3008.9,74379.4,4.2
166,170,0,3008.9,74379.4,4.2
167,168,1,3200,88495.57522,0
167,169,1,3200,89847.25966,0
167,181,0,2749.9,40965.8,15.2
167,182,0,2749.9,40965.8,15.2
168,173,1,2932.49,12683.91679,29.39322964
170,171,1,3200,86281.27696,0
171,184,1,2678.53,29647.19834,12.57875348
172,173,1,3200,86058.51979,0
172,174,1,3200,85910.65292,0
175,178,1,3045.81,16866.25063,27.11488558
175,187,1,3193.96,47147.5719,8.754395278
175,186,0,2901.5,60518.9,8.8
177,178,1,3200,99502.48756,0
177,179,0,3034.6,77686.7,3.1
177,180,0,3034.6,77686.7,3.1
178,180,1,2580.01,86880.97307,3.092524978
178,184,1,2996.38,23496.2406,15.67368843
178,179,0,3034.6,77686.7,3.1
179,180,1,3200,97370.98345,0
180,187,1,3176.5,15053.43971,27.90168853
180,184,1,3113.08,24987.50625,14.29652529
181,182,1,3200,93370.68161,0
183,184,1,3200,96899.22481,0
183,185,1,3200,89206.06601,0
186,187,1,3200,84033.61345,0
