Number,from bus,to bus,if this branch is existing,Max Flow,Susceptance,Distance (mile)
216,117,136,1,2652.96,16092.69392,24.86303689
217,117,119,0,2773,43946.4,14.2
218,118,119,0,2773,43946.4,14.2
219,119,135,0,2805.5,48144,12.8
220,120,121,1,3200,86655.11265,0
221,120,147,0,2612.2,23202.7,21.1
222,121,147,0,2612.2,23202.7,21.1
223,122,123,1,3200,89047.19501,0
224,122,144,0,3022.2,76092.5,3.6
225,123,136,1,2778.79,35752.59206,10.73892121
226,123,134,1,2099.57,68493.15068,4.663010211
227,123,145,1,2262.43,87873.46221,3.618288978
228,123,144,0,3022.2,76092.5,3.6
229,124,125,1,3200,95147.47859,0
230,124,126,1,3200,98039.21569,0
231,124,154,0,3003.5,73682.5,4.4
232,124,127,0,2889.3,58945.1,9.3
233,124,128,0,2889.3,58945.1,9.3
234,124,129,0,2889.3,58945.1,9.3
235,124,148,0,2762.7,42617.5,14.7
236,124,149,0,2762.7,42617.5,14.7
237,125,154,0,3003.5,73682.5,4.4
238,126,128,1,2579.01,42052.14466,9.273447718
239,126,148,1,2704.61,28113.57886,14.65822825
240,126,154,0,3003.5,73682.5,4.4
241,127,128,1,3200,85763.29331,0
242,127,129,1,3200,87412.58741,0
243,128,154,1,2599.69,27593.81898,13.15294121
244,130,131,1,3200,86655.11265,0
245,130,132,1,3200,98425.19685,0
246,130,142,0,2778.3,44628.7,14
247,130,143,0,2778.3,44628.7,14
248,131,143,1,2825.81,31065.54831,13.99494331
249,131,142,0,2778.3,44628.7,14
250,132,142,0,2778.3,44628.7,14
251,133,134,1,3200,92250.92251,0
252,133,144,0,3033.9,77604.5,3.1
253,133,145,0,3033.9,77604.5,3.1
254,133,146,0,3033.9,77604.5,3.1
255,133,152,0,2930,64199,7.5
256,133,153,0,2930,64199,7.5
257,134,136,1,2702.71,29568.30278,14.35523374
258,134,145,1,2338.48,102564.1026,3.119642521
259,134,153,1,2018.71,51759.83437,7.540713223
260,134,144,0,3033.9,77604.5,3.1
261,135,136,1,3200,91996.32015,0
262,137,138,1,3200,92336.10342,0
263,139,140,1,3200,88105.72687,0
264,139,141,1,3200,85836.90987,0
265,139,172,0,2669.9,30648.4,18.6
266,140,145,1,2645.36,15316.28121,28.58972465
267,140,172,0,2669.9,30648.4,18.6
268,141,172,0,2669.9,30648.4,18.6
269,142,143,1,3200,83892.61745,0
270,144,145,1,3200,99900.0999,0
271,144,146,1,3200,95785.44061,0
272,148,149,1,3200,90009.0009,0
273,148,150,1,2497.42,20811.65453,17.35950013
274,148,151,0,2699.2,34426.7,17.4
275,150,151,1,3200,95419.84733,0
276,152,153,1,3200,94428.70633,0
277,152,172,0,2721,37246.7,16.4
278,152,173,0,2721,37246.7,16.4
279,152,174,0,2721,37246.7,16.4
280,153,173,1,2348.19,24396.19419,16.4294914
281,155,156,1,3200,93632.9588,0
282,155,157,0,2922.7,63257.4,7.9
283,155,158,0,2922.7,63257.4,7.9
284,156,176,1,3089.64,16337.1998,25.58609061
285,156,158,1,2166.56,45682.96026,7.85126428
286,156,163,1,3167.1,20032.05128,21.72354099
287,156,157,0,2922.7,63257.4,7.9
288,157,158,1,3200,85397.0965,0
289,157,176,0,2611.9,23170.2,21.1
290,158,165,1,3190.89,24691.35802,16.77955362
291,159,160,1,2823.82,30778.70114,13.72339951
292,159,178,1,2884.84,20308.69212,18.90216792
293,159,161,1,2511.47,28473.8041,15.84573635
294,159,163,1,2915.51,35050.82369,9.841113748
295,159,162,0,2875.9,57223.8,9.8
296,160,168,1,2625.06,27129.67987,14.92417161
297,160,180,1,2767.86,34176.34997,11.97584175
298,160,177,0,2894.2,59577.3,9.1
299,160,167,0,2756.4,41811.1,14.9
300,160,169,0,2756.4,41811.1,14.9
