,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
75,116540.6241,110567.9393,29856.88746,128127.1137,67912.20029,70644.33408,43095.62251,61783.48647,21838.73958,113152.5941,100974.2873,586431.5871,119456.6988,26248.7907,188365.1813,124010.4516,27480.00194,19451.44475
76,108507.5567,102974.3807,28321.23814,119465.0732,63375.84692,69068.0407,42044.38413,60027.36784,22672.58835,118418.4334,105628.4614,616133.3853,125000.0873,25737.27169,184794.0394,116020.7111,28490.29473,20116.83817
77,110262.5742,104633.3769,28656.7378,121357.5051,64366.92282,69103.77064,42068.21262,60067.1739,21210.39742,109184.5498,97467.1601,564049.9606,115279.5089,23288.28748,167696.5907,113706.5424,44055.21674,30368.12069
78,100045.1896,94975.01042,26703.52132,110340.1198,58597.06374,69831.66492,42553.64915,60878.10714,19993.26344,101498.2256,90673.65796,520695.495,107188.0578,21869.71323,157792.8926,110544.1619,41936.01717,28972.38523
79,114523.9301,108661.5836,29471.36415,125952.5166,66773.35306,70632.04741,43087.42846,61769.79812,19531.377,98581.36599,88095.61267,504243.0418,104117.4579,20024.56419,144911.0859,109376.1867,38222.66355,26526.71689
80,114462.8695,108603.8638,29459.69143,125886.675,66738.87152,68651.70194,41766.72562,59563.53271,17963.92299,88682.73532,79346.77947,448410.1326,93697.09528,17520.53094,127429.3153,110299.7705,40560.86213,28066.68826
81,105450.9338,100084.9931,27736.91578,116169.1229,61649.74145,65486.48145,39655.82338,56037.22047,17219.15562,83979.45404,75189.8183,421881.4252,88745.91586,15855.49012,115804.9243,109043.3741,38439.50311,26669.53056
82,93742.00473,89016.68818,25498.56671,103543.4082,55037.59229,65484.23312,39654.32395,56034.71565,16242.3589,77810.88396,69737.7722,387087.8033,82252.21595,13691.40672,100696.4949,107959.8297,33674.14951,23530.99983
83,91519.28581,86915.57965,25073.65844,101146.6549,53782.40072,61970.30439,37310.86635,52119.91416,16336.01,78402.3001,70260.49109,390423.6671,82874.80415,13796.78764,101432.206,94637.87827,40881.03425,28277.55824
84,85759.15257,81470.59738,23972.51684,94935.51478,50529.59596,67564.65681,41041.76949,58352.47631,14936.99289,69567.36555,62451.79802,340590.5018,73574.20239,12029.71713,89095.50029,97967.82154,34417.18841,24020.37598
85,74255.31931,70596.16696,21773.37511,82530.95449,44033.26645,80139.01529,49427.67549,72361.33112,15626.18487,73919.68263,66298.56203,365139.6069,78155.91917,12670.09959,93566.29526,93539.8226,31235.41838,21924.81627
