,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,
18,212046.0026,200905.6334,49196.88001,231462.0276,122145.1192,146172.5606,92917.9602,143620.7775,33045.00338,178418.7824,158873.8218,943051.8771,188238.4853,46079.16747,327218.7226,222581.0099,81540.56723,55281.96717,3.43E+06
19,197750.0973,187391.892,46463.98906,216046.7816,114072.0788,127279.8206,80318.29224,122572.7334,31551.03956,168984.2498,150535.1783,889836.6982,178306.6821,39033.60093,278030.4869,223918.2274,96286.90417,64994.11773,3.21E+06
20,248167.469,235050.806,56102.07605,270411.7321,142543.272,144600.5205,91869.55838,141869.3974,29785.01705,157831.639,140678.0238,826930.754,166566.2452,52759.33114,373855.9184,235872.8069,77526.21536,52638.05704,3.45E+06
21,256877.7463,243284.5227,57767.18488,279804.0067,147462.0526,143032.5814,90823.89153,140122.5861,35579.85271,194426.6124,173022.2267,1033343.529,205090.0478,54133.99383,383453.0504,262916.2552,72825.40945,49542.03835,3.82E+06
22,238198.4078,225627.1765,54196.33055,259662.1135,136913.6436,152587.4945,97196.11346,150767.534,38085.61601,210250.7611,187008.2862,1122599.133,221748.2476,53916.32959,381933.4395,227459.5026,79124.73038,53690.86212,3.89E+06
23,216644.2947,205252.3416,50075.91709,236420.3566,124741.8207,140652.4798,89236.58923,137470.96,33146.04633,179056.8789,159437.7988,946651.0398,188910.2142,45203.6556,321106.3846,210169.6728,109827.7146,73912.29111,3.47E+06
24,190237.2618,180290.1021,45027.79038,207945.7062,109829.5055,120291.1843,75657.53379,114786.826,30650.39801,163296.6073,145508.1966,857755.7328,172319.2583,41269.09868,293637.4916,213153.7409,101188.0574,68222.08808,3.13E+06
25,199480.742,189027.8489,46794.82947,217912.9323,115049.3911,145243.4972,92298.36293,142585.7256,27072.48487,140701.7238,125537.8721,730310.0165,148533.4553,45062.16646,320118.5859,201554.8318,122300.5259,82127.06483,3.09E+06
26,233810.6446,221479.4786,53357.53945,254930.7973,134435.8299,156133.6409,99561.05719,154718.2285,24923.08417,127128.0409,113540.8705,653748.0929,134244.3377,49071.16414,348107.1831,232009.3635,120415.3779,80885.47912,3.19E+06
27,234105.8477,221758.5304,53413.97223,255249.1142,134602.534,141491.1457,89795.89989,138405.3017,28059.96324,146937.7496,131049.5385,765484.1203,155098.1664,46151.45133,327723.3685,246873.874,90949.59729,61478.89031,3.27E+06
28,214561.4962,203283.4981,49677.75684,234174.4792,123565.6436,136096.1144,86197.92506,132394.7995,28437.57466,149322.404,133157.1979,778934.6866,157608.5098,40592.06907,288910.8466,206019.0214,81117.73111,55003.48119,3.10E+06
29,158050.4449,149864.3047,38874.76553,173238.7262,91653.28865,123250.2838,77630.97291,118083.5028,27345.99752,142428.9839,127064.4984,740052.5714,150351.7549,30480.96975,218320.7621,161740.4903,82509.88991,55920.37709,2.67E+06
30,192280.0018,182221.0787,45418.2928,210148.3885,110983.0612,123921.2865,78078.46811,118831.0541,28980.61118,152751.7345,136188.187,798277.7156,161218.5917,35689.24682,254682.0624,160127.1501,65370.68963,44632.25217,2.90E+06
31,200970.8927,190401.8808,46430.12847,219308.7651,115710.8472,127712.2314,80606.66926,123054.4741,31423.53239,168350.9823,149968.7667,886624.5089,177637.6747,41430.68582,295378.8863,162291.3139,39262.56124,27437.06161,3.08E+06
